冒天下之大不讳=冒天下之大不韪|冒天下之大不韙
变本加利=变本加厉|變本加厲
变本加历=变本加厉|變本加厲
变本加励=变本加厉|變本加厲
利行节约=厉行节约|厲行節約
历行节约=厉行节约|厲行節約
励行节约=厉行节约|厲行節約
力行节约=厉行节约|厲行節約
厉厉在目=历历在目|歷歷在目
利厉在目=历历在目|歷歷在目
励厉在目=历历在目|歷歷在目
力厉在目=历历在目|歷歷在目
厉利在目=历历在目|歷歷在目
利利在目=历历在目|歷歷在目
励利在目=历历在目|歷歷在目
力利在目=历历在目|歷歷在目
厉励在目=历历在目|歷歷在目
利励在目=历历在目|歷歷在目
励励在目=历历在目|歷歷在目
力励在目=历历在目|歷歷在目
厉力在目=历历在目|歷歷在目
利力在目=历历在目|歷歷在目
励力在目=历历在目|歷歷在目
力力在目=历历在目|歷歷在目
铺张扬利=铺张扬厉|鋪張揚厲
色厉内忍=色厉内荏|色厲內荏
藕断丝联=藕断丝连|藕斷絲連
横征暴殓=横征暴敛|橫征暴斂
廖若晨星=寥若晨星|寥若晨星
一麟半爪=一鳞半爪|一鱗半爪
留恋忘返=留连忘返|留連忘返
老态龙肿=老态龙钟|老態龍鍾
炉火成青=炉火纯青|爐火純青
暂露头角=崭露头角|嶄露頭角
戳力同心=戮力同心|戮力同心
旅力过人=膂力过人|膂力過人
攻城掠地=攻城略地|攻城略地
沦肌夹髓=沦肌浃髓|淪肌浹髓
汗流夹背=汗流浃背|汗流浹背
无与纶比=无与伦比|無與倫比
无与论比=无与伦比|無與倫比
满腹经伦=满腹经纶|滿腹經綸
满腹经论=满腹经纶|滿腹經綸
羽扇伦巾=羽扇纶巾|羽扇綸巾
羽扇论巾=羽扇纶巾|羽扇綸巾
轮功行赏=论功行赏|論功行賞
漫条斯理=慢条斯理|慢條斯理
慢不经心=漫不经心|漫不經心
茫无头序=茫无头绪|茫無頭緒
千头万序=千头万绪|千頭萬緒
一切就序=一切就绪|一切就緒
冒然从事=贸然从事|貿然從事
素昧平身=素昧平生|素昧平生
门里出生=门里出身|門裡出身
谈笑风声=谈笑风生|談笑風生
老声常谈=老生常谈|老生常談
门廷若市=门庭若市|門庭若市
朦懂无知=懵懂无知|懵懂無知
靡烂不堪=糜烂不堪|糜爛不堪
风糜一时=风靡一时|風靡一時
迷天大谎=弥天大谎|彌天大謊
欲盖迷彰=欲盖弥彰|欲蓋彌彰
欲盖迷张=欲盖弥彰|欲蓋彌彰
欲盖弥张=欲盖弥彰|欲蓋彌彰
密而不宣=秘而不宣|秘而不宣
祖传密方=祖传秘方|祖傳秘方
死不冥目=死不瞑目|死不瞑目
死不溟目=死不瞑目|死不瞑目
薄暮暝暝=薄暮冥冥|薄暮冥冥
暝暝之中=冥冥之中|冥冥之中
明查暗访=明察暗访|明察暗訪
名哲保身=明哲保身|明哲保身
名珠暗投=明珠暗投|明珠暗投
磨肩擦背=摩肩擦背|摩肩擦背
磨崖石刻=摩崖石刻|摩崖石刻
顶礼模拜=顶礼膜拜|頂禮膜拜
穷途没路=穷途末路|窮途末路
末齿不忘=没齿不忘|沒齒不忘
莫中一是=莫衷一是|莫衷一是
言不由中=言不由衷|言不由衷
中心感谢=衷心感谢|衷心感謝
一见衷情=一见钟情|一見鍾情
谋取暴利=牟取暴利|牟取暴利
暮蔼沉沉=暮霭沉沉|暮靄沉沉
暇迩闻名=遐迩闻名|遐邇聞名
瑕迩闻名=遐迩闻名|遐邇聞名
闻名暇迩=闻名遐迩|聞名遐邇
闻名瑕迩=闻名遐迩|聞名遐邇
名闻暇迩=名闻遐迩|名聞遐邇
名闻瑕迩=名闻遐迩|名聞遐邇
目不瑕接=目不暇接|目不暇接
目不遐接=目不暇接|目不暇接
应接不遐=应接不暇|應接不暇
应接不瑕=应接不暇|應接不暇
暇思迩想=遐思迩想|遐思邇想
瑕思迩想=遐思迩想|遐思邇想
暇瑜互见=瑕瑜互见|瑕瑜互見
遐瑜互见=瑕瑜互见|瑕瑜互見
自顾不遐=自顾不暇|自顧不暇
自顾不瑕=自顾不暇|自顧不暇
令人目炫=令人目眩|令人目眩
头昏目炫=头昏目眩|頭昏目眩
盘根错结=盘根错节|盤根錯節
不拘小结=不拘小节|不拘小節
细枝末结=细枝末节|細枝末節
判若洪沟=判若鸿沟|判若鴻溝
披肝厉胆=披肝沥胆|披肝瀝膽
凭心而论=平心而论|平心而論
风尘扑扑=风尘仆仆|風塵僕僕
风尘朴扑=风尘仆仆|風塵僕僕
风尘扑朴=风尘仆仆|風塵僕僕
风尘朴朴=风尘仆仆|風塵僕僕
前扑后继=前仆后继|前仆後繼
前朴后继=前仆后继|前仆後繼
仆朔迷离=扑朔迷离|撲朔迷離
朴朔迷离=扑朔迷离|撲朔迷離
气喘嘘嘘=气喘吁吁|氣喘吁吁
自我吹吁=自我吹嘘|自我吹噓
吁寒问暖=嘘寒问暖|噓寒問暖
气极败坏=气急败坏|氣急敗壞
气势凶凶=气势汹汹|氣勢洶洶
讫今为止=迄今为止|迄今為止
斩将骞旗=斩将搴旗|斬將搴旗
千古一痛=千古一恸|千古一慟
深致欠意=深致歉意|深致歉意
敲榨勒索=敲诈勒索|敲詐勒索
巧装打扮=乔装打扮|喬裝打扮
巧夺天公=巧夺天工|巧奪天工
契而不舍=锲而不舍|鍥而不捨
浸人心脾=沁人心脾|沁人心脾
穷穷孑立=茕茕孑立|煢煢孑立
雀巢鸠占=鹊巢鸠占|鵲巢鳩占
鸠占雀巢=鸠占鹊巢|鳩占鵲巢
欢呼鹊跃=欢呼雀跃|歡呼雀躍
惹事生非=惹是生非|惹是生非
招惹事非=招惹是非|招惹是非
各行其事=各行其是|各行其是
共商国事=共商国是|共商國是
无是生非=无事生非|無事生非
寻人启是=寻人启事|尋人啟事
忍劳忍怨=任劳任怨|任勞任怨
儒子可教=孺子可教|孺子可教
如丧考比=如丧考妣|如喪考妣
大现身手=大显身手|大顯身手
歌舞生平=歌舞升平|歌舞升平
拾遗补缺=拾遗补阙|拾遺補闕
势如爆竹=势如破竹|勢如破竹
收来人心=收揽人心|收攬人心
毁家抒难=毁家纾难|毀家紓難
毁家书难=毁家纾难|毀家紓難
越俎代包=越俎代庖|越俎代庖
越组代包=越俎代庖|越俎代庖
越祖代包=越俎代庖|越俎代庖
